Da­tum,Wie­der­ga­be­zeit (Stun­den)
2020-02-01,36.7591
2020-02-02,45.8708
2020-02-03,55.3639
2020-02-04,84.4149
2020-02-05,74.0546
2020-02-06,78.2664
2020-02-07,61.0313
2020-02-08,58.5837
2020-02-09,84.8574
2020-02-10,63.4545
2020-02-11,60.1672
2020-02-12,54.9338
2020-02-13,37.0042
2020-02-14,30.807
2020-02-15,32.4417
2020-02-16,38.1592
2020-02-17,45.2976
2020-02-18,49.0289
2020-02-19,37.5103
2020-02-20,32.1532
2020-02-21,21.059
2020-02-22,25.6288
2020-02-23,31.5301
2020-02-24,18.7765
2020-02-25,23.0214
2020-02-26,23.4922
2020-02-27,22.742
2020-02-28,26.8706
2020-02-29,33.6831
2020-03-01,25.7011
2020-03-02,33.7585
2020-03-03,33.0502
2020-03-04,25.3635
2020-03-05,20.0498
2020-03-06,16.2554
2020-03-07,17.0455
2020-03-08,21.5641
2020-03-09,17.9109
2020-03-10,20.9673
2020-03-11,19.48
2020-03-12,13.3054
2020-03-13,15.9766
2020-03-14,8.699
2020-03-15,9.8503
2020-03-16,6.6656
2020-03-17,7.8378
2020-03-18,7.4265
2020-03-19,6.3452
2020-03-20,5.9621
2020-03-21,4.7496
2020-03-22,9.1644
2020-03-23,8.4699
2020-03-24,9.1145
2020-03-25,12.3707
2020-03-26,8.6784
2020-03-27,6.685
2020-03-28,6.4537
2020-03-29,7.0603
2020-03-30,10.477
2020-03-31,9.4286
2020-04-01,8.0799
2020-04-02,9.8511
2020-04-03,9.5758
2020-04-04,6.0928
2020-04-05,10.7746
2020-04-06,9.3773
2020-04-07,10.0484
2020-04-08,12.8421
2020-04-09,11.8229
2020-04-10,9.203
2020-04-11,9.6317
2020-04-12,9.0029
2020-04-13,13.5484
2020-04-14,13.5172
2020-04-15,14.873
2020-04-16,17.7468
2020-04-17,10.0945
2020-04-18,11.8237
2020-04-19,13.7267
2020-04-20,18.4289
2020-04-21,20.9926
2020-04-22,15.6694
2020-04-23,18.7912
2020-04-24,15.9915
2020-04-25,18.1885
2020-04-26,19.5455
2020-04-27,21.3881
2020-04-28,19.7313
2020-04-29,23.8311
2020-04-30,22.2797
2020-05-01,23.7878
2020-05-02,21.9402
2020-05-03,26.63
2020-05-04,29.4327
2020-05-05,26.8561
2020-05-06,22.6987
2020-05-07,21.306
2020-05-08,14.7677
2020-05-09,15.305
2020-05-10,20.1799
2020-05-11,26.6016
2020-05-12,24.8538
2020-05-13,26.2593
2020-05-14,23.2784
2020-05-15,22.0395
2020-05-16,19.6631
2020-05-17,24.0444
2020-05-18,22.8158
2020-05-19,27.6252
2020-05-20,22.8411
2020-05-21,20.1741
2020-05-22,19.1067
2020-05-23,22.1134
2020-05-24,24.8298
2020-05-25,29.2526
2020-05-26,28.3948
2020-05-27,24.9339
2020-05-28,27.6628
2020-05-29,24.189
2020-05-30,19.0769
2020-05-31,21.5027
2020-06-01,30.6757
2020-06-02,29.2724
2020-06-03,32.8677
2020-06-04,33.3423
2020-06-05,32.2222
2020-06-06,29.2858
2020-06-07,39.4086
2020-06-08,31.4735
2020-06-09,33.0697
2020-06-10,27.2955
2020-06-11,32.716
2020-06-12,26.8881
2020-06-13,20.779
2020-06-14,31.382
2020-06-15,33.0156
2020-06-16,33.7927
2020-06-17,33.2039
2020-06-18,29.9978
2020-06-19,35.6283
2020-06-20,25.575
2020-06-21,33.0111
2020-06-22,39.1605
2020-06-23,32.7452
2020-06-24,33.6058
2020-06-25,35.0847
2020-06-26,29.5137
2020-06-27,28.9381
2020-06-28,40.212
2020-06-29,39.5985
2020-06-30,31.6529
2020-07-01,33.7274
2020-07-02,34.5215
2020-07-03,31.6212
2020-07-04,35.5909
2020-07-05,39.3507
2020-07-06,50.2612
2020-07-07,40.3265
2020-07-08,39.4527
2020-07-09,43.3955
2020-07-10,39.8842
2020-07-11,37.555
2020-07-12,38.3402
2020-07-13,43.3233
2020-07-14,43.3922
2020-07-15,41.7056
2020-07-16,47.5253
2020-07-17,47.8157
2020-07-18,33.721
2020-07-19,42.1771
2020-07-20,46.5468
2020-07-21,51.9627
2020-07-22,48.0543
2020-07-23,51.2986
2020-07-24,51.3882
2020-07-25,57.0925
2020-07-26,60.4083
2020-07-27,51.4304
2020-07-28,47.6408
2020-07-29,35.7908
2020-07-30,32.653
2020-07-31,20.895
2020-08-01,25.7034
2020-08-02,31.2685
2020-08-03,41.9996
2020-08-04,47.3814
2020-08-05,33.6057
2020-08-06,43.4237
2020-08-07,16.7148
2020-08-08,18.6685
2020-08-09,27.3038
2020-08-10,24.0204
2020-08-11,28.6107
2020-08-12,18.9464
2020-08-13,19.1557
2020-08-14,13.5505
2020-08-15,17.3454
2020-08-16,18.3555
2020-08-17,27.0604
2020-08-18,20.8453
2020-08-19,24.7863
2020-08-20,16.6164
2020-08-21,12.8687
2020-08-22,12.0577
2020-08-23,16.0008
2020-08-24,17.7967
2020-08-25,16.7944
2020-08-26,17.4165
2020-08-27,17.1553
2020-08-28,14.8224
2020-08-29,12.349
2020-08-30,15.437
2020-08-31,12.8376
2020-09-01,20.2969
2020-09-02,21.0847
2020-09-03,19.5033
2020-09-04,17.7999
2020-09-05,15.4128
2020-09-06,13.6693
2020-09-07,22.8782
2020-09-08,17.8562
2020-09-09,24.475
2020-09-10,21.6611
2020-09-11,19.1289
2020-09-12,20.989
2020-09-13,21.961
2020-09-14,22.4746
2020-09-15,26.96
2020-09-16,25.421
2020-09-17,29.7933
2020-09-18,18.9855
2020-09-19,23.9754
2020-09-20,26.4968
2020-09-21,32.789
2020-09-22,35.752
2020-09-23,27.2727
2020-09-24,19.1196
2020-09-25,19.7546
2020-09-26,13.1122
2020-09-27,18.2067
2020-09-28,20.816
2020-09-29,19.013
2020-09-30,13.6385
2020-10-01,13.6154
2020-10-02,11.9006
2020-10-03,15.3977
2020-10-04,13.8483
2020-10-05,20.4708
2020-10-06,16.4189
2020-10-07,17.1863
2020-10-08,12.748
2020-10-09,13.6184
2020-10-10,12.4971
2020-10-11,15.7708
2020-10-12,18.3768
2020-10-13,18.2327
2020-10-14,18.7255
2020-10-15,14.4555
2020-10-16,12.6272
2020-10-17,14.974
2020-10-18,17.016
2020-10-19,15.7546
2020-10-20,15.5728
2020-10-21,17.5871
2020-10-22,17.9155
2020-10-23,12.7298
2020-10-24,15.2099
2020-10-25,15.6066
2020-10-26,15.1285
2020-10-27,14.4499
2020-10-28,12.5111
2020-10-29,14.3673
2020-10-30,8.3312
2020-10-31,7.6779
2020-11-01,10.5555
2020-11-02,13.4541
2020-11-03,14.1413
2020-11-04,12.5628
2020-11-05,15.7683
2020-11-06,10.7874
2020-11-07,8.9804
2020-11-08,15.5224
2020-11-09,15.7824
2020-11-10,18.968
2020-11-11,20.3834
2020-11-12,17.878
2020-11-13,14.5103
2020-11-14,14.6111
2020-11-15,22.6641
2020-11-16,24.6075
2020-11-17,24.1917
2020-11-18,19.0127
2020-11-19,23.014
2020-11-20,19.7016
2020-11-21,21.9247
2020-11-22,28.8828
2020-11-23,23.7944
2020-11-24,24.5776
2020-11-25,21.9771
2020-11-26,23.0909
