Da­tum,Vi­deo,Vi­deo­ti­tel,Ver­öf­fent­li­chungs­zeit­punkt des Vi­de­os,Wie­der­ga­be­zeit (Stun­den)
2020-02-01,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3231
2020-02-02,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.664
2020-02-03,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5479
2020-02-04,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5125
2020-02-05,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3924
2020-02-06,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.7714
2020-02-07,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6905
2020-02-08,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.9237
2020-02-09,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",1.1426
2020-02-10,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.9503
2020-02-11,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5368
2020-02-12,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.649
2020-02-13,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6305
2020-02-14,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0549
2020-02-15,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2452
2020-02-16,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.261
2020-02-17,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2344
2020-02-18,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3644
2020-02-19,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.244
2020-02-20,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5609
2020-02-21,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3132
2020-02-22,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.315
2020-02-23,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4009
2020-02-24,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2118
2020-02-25,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1155
2020-02-26,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4395
2020-02-27,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.499
2020-02-28,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5567
2020-02-29,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.4696
2020-03-01,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6964
2020-03-02,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.9094
2020-03-03,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5464
2020-03-04,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3254
2020-03-05,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3495
2020-03-06,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1883
2020-03-07,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1844
2020-03-08,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2613
2020-03-09,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1356
2020-03-10,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.6447
2020-03-11,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1984
2020-03-12,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2093
2020-03-13,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.5
2020-03-14,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.3221
2020-03-15,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0253
2020-03-16,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0
2020-03-17,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0727
2020-03-18,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2451
2020-03-19,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1517
2020-03-20,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.1774
2020-03-21,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0395
2020-03-22,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0025
2020-03-23,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.0304
2020-03-24,4Tm4lkJrxO8,Welche Rechenregeln kann man für den Erwartungswert und die Varianz anwenden?,"Jan 5, 2019",0.2819
